mu,z,g,alpha,c,epsilon,bR,beta,a,bT,eT,eT,kA,j,kB,n,d,f,nK,rK,Ki,Kj,dKO,Error,Wterror,Koerror,EntryNumber
0.405,0.027399401,0.099999997,0.000394099,0.0020729,0.007000003,0.01,0.312983501,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1909323.07,1045900,0.2,3.579392175,100,8213.898031,4884.034172,3329.959689,38
0.405,0.027000595,0.09958018,0.00044876,0.0020729,0.007002438,0.01,0.312999978,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1909130.725,1045900,0.2,3.579392175,100,8237.008198,4899.061216,3337.966903,40
0.405000002,0.027,0.099559968,0.00035,0.0020729,0.007,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1915096.162,1045900,0.2,3.579392175,100,8281.627417,4926.39882,3355.235993,22
0.405060013,0.027001206,0.099989843,0.000400604,0.0020729,0.010421854,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1756435.539,1045900,0.2,3.579392175,100,8320.604708,4611.618313,3709.032331,52
0.405000513,0.027,0.1,0.00035,0.0020729,0.011899031,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1788467.954,1045900,0.2,3.579392175,100,8354.509231,4454.587828,3900.026643,73
0.405,0.027791025,0.1,0.000350001,0.0020729,0.007000061,0.01,0.312999999,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1826712.781,1045900,0.2,3.579392175,100,8608.067785,4996.312228,3611.793887,47
0.405000003,0.027,0.099940045,0.00044876,0.0020729,0.011791153,0.01,0.312842654,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1788792.045,1045900,0.2,3.579392175,100,8801.203361,4676.771934,4124.467549,13
0.405000009,0.027014638,0.099727869,0.000360339,0.0020729,0.011482047,0.01,0.312999945,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1822261.475,1045900,0.2,3.579392175,100,8945.2214,4774.198196,4171.040419,89
0.405037018,0.027000001,0.099878825,0.000448758,0.0020729,0.007,0.01,0.31245794,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1888420.754,1045900,0.2,3.579392175,100,9237.228896,5115.732191,4121.540578,29
0.405281799,0.02702084,0.099998791,0.000426818,0.0020729,0.011993962,0.01,0.312999486,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1966361.635,1045900,0.2,3.579392175,100,9257.796844,4793.845083,4463.952392,28
0.405000021,0.027013562,0.099999993,0.000350099,0.0020729,0.007000047,0.01,0.312389605,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1965133.309,1045900,0.2,3.579392175,100,9400.0834,5297.884672,4102.265676,7
0.405,0.027366669,0.099999987,0.000425687,0.0020729,0.011999943,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1900312.96,1045900,0.2,3.579392175,100,9812.681212,5343.652694,4469.053668,31
0.405000001,0.027,0.1,0.00035,0.0020729,0.007,0.01,0.311670966,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1767625.611,1045900,0.2,3.579392175,100,10001.83745,5304.669846,4697.22641,58
0.405,0.027000007,0.099999858,0.00035,0.0020729,0.007003355,0.01,0.311503986,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1757202.396,1045900,0.2,3.579392175,100,10341.49816,5449.487859,4892.053756,57
0.405,0.027,0.1,0.00044876,0.0020729,0.011594464,0.01,0.312423103,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1962882.256,1045900,0.2,3.579392175,100,10406.47737,5703.409347,4703.12202,76
0.405002061,0.027198747,0.099943556,0.000350216,0.0020729,0.011999968,0.01,0.312448419,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1832377.804,1045900,0.2,3.579392175,100,11141.46056,6225.016194,4916.544519,36
0.405000045,0.027,0.099999968,0.000380158,0.0020729,0.008106493,0.01,0.31180988,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1965909.66,1045900,0.2,3.579392175,100,11152.27398,6246.555242,4905.746981,79
0.405,0.027,0.098558519,0.00035,0.0020729,0.00700362,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1953158.511,1045900,0.2,3.579392175,100,11532.10711,6380.189759,5151.959336,5
0.405,0.027,0.099999871,0.00044876,0.0020729,0.010285285,0.01,0.311369907,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1791525.653,1045900,0.2,3.579392175,100,12151.3765,6529.895674,5621.505606,42
0.405,0.028947817,0.1,0.000414519,0.0020729,0.011622689,0.01,0.312999999,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1768230.044,1045900,0.2,3.579392175,100,13836.81941,7347.393357,6489.486785,33
0.405198261,0.028648938,0.099679729,0.000430436,0.0020729,0.011974979,0.01,0.312999968,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1798274.375,1045900,0.2,3.579392175,100,15038.41048,7965.197389,7073.245248,54
0.405008092,0.029703663,0.1,0.00044876,0.0020729,0.007,0.01,0.312922932,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1926188.46,1045900,0.2,3.579392175,100,15809.9304,8397.711771,7412.256149,84
0.405,0.027,0.1,0.00035,0.0020729,0.009809726,0.01,0.310385105,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1909513.712,1045900,0.2,3.579392175,100,15906.10826,8476.548123,7429.737286,19
0.405144325,0.027,0.097212744,0.00035,0.0020729,0.007000142,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1915131.821,1045900,0.2,3.579392175,100,16221.35149,8554.766177,7666.642808,49
0.405007165,0.029603729,0.1,0.000436275,0.0020729,0.010058465,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1901564.044,1045900,0.2,3.579392175,100,16415.36038,8775.417006,7640.002503,23
0.405000119,0.027001195,0.099999975,0.00044876,0.0020729,0.008150554,0.01,0.310089393,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1938464.952,1045900,0.2,3.579392175,100,16463.43566,8721.335921,7742.344888,43
0.405002206,0.030351968,0.1,0.00044876,0.0020729,0.007070141,0.01,0.312999951,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1776853.207,1045900,0.2,3.579392175,100,17502.51546,9293.113985,8209.625265,88
0.405003174,0.029572648,0.099999992,0.000350003,0.0020729,0.012,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1844049.802,1045900,0.2,3.579392175,100,17842.80102,9833.066456,8009.894669,26
0.405,0.027,0.09645916,0.00035,0.0020729,0.007000003,0.01,0.312942933,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1756469.945,1045900,0.2,3.579392175,100,18166.20216,9514.745253,8651.469331,91
0.405808807,0.028880195,0.1,0.000448759,0.0020729,0.012,0.01,0.313,0.0066,0.034087,100,200,214120,3.22E-07,4.2533,1,1000,1.38629,1835183.72,1045900,0.2,3.579392175,100,18207.80737,9952.103557,8255.756885,74
