mu,z,g,alpha,c,epsilon,bR,beta,a,bT,eT,eT,kA,j,kB,n,d,f,nK,rK,Ki,Kj,dKO,Error,Wterror,Koerror,EntryNumber
0.400313067,0.031977441,0.097104633,0.000679401,0.002246341,0.00813016,0.012076892,0.307879665,0.0066,0.042080493,100,200,211921.3615,3.22E-07,4.2533,1,1000,1.38629,1854586.133,1045900,0.2,3.579392175,100,4415.618955,1692.22918,2723.402648,24
0.396913851,0.031997389,0.1,0.0007,0.002249999,0.008269984,0.005000853,0.303371104,0.0066,0.044312993,100,200,235030.2225,3.22E-07,4.2533,1,1000,1.38629,1805521.623,1045900,0.2,3.579392175,100,4120.743696,1494.163193,2626.607216,25
0.39923193,0.03009685,0.096246591,0.0007,0.00225,0.007,0.005069119,0.305860169,0.0066,0.041615157,100,200,233515.1962,3.22E-07,4.2533,1,1000,1.38629,1840957.618,1045900,0.2,3.579392175,100,3768.269846,1580.735084,2187.537516,26
0.406827827,0.027999314,0.099001004,0.000464648,0.002181529,0.009758338,0.006223125,0.306687505,0.0066,0.042622631,100,200,207551.3318,3.22E-07,4.2533,1,1000,1.38629,1954022.324,1045900,0.2,3.579392175,100,4755.482351,1440.678334,3314.819272,27
0.406907618,0.029956208,0.098354443,0.000625537,0.002101888,0.009417055,0.005336427,0.312995437,0.0066,0.037584746,100,200,180900.3863,3.22E-07,4.2533,1,1000,1.38629,1964528.401,1045900,0.2,3.579392175,100,4682.401244,2113.739173,2568.671558,28
0.400363665,0.031507554,0.094615393,0.000544629,0.002111792,0.007889267,0.015,0.30430694,0.0066,0.042243433,100,200,218850.8484,3.22E-07,4.2533,1,1000,1.38629,1889397.871,1045900,0.2,3.579392175,100,4250.037455,1521.734939,2728.306115,29
0.406999967,0.027,0.097962282,0.000699957,0.002248145,0.007015348,0.005000196,0.310925969,0.0066,0.042105751,100,200,221388.7989,3.22E-07,4.2533,1,1000,1.38629,1904002.503,1045900,0.2,3.579392175,100,4285.347764,1735.002704,2550.353656,30
0.400877246,0.028789058,0.099999988,0.000694577,0.002249996,0.008830993,0.006152429,0.304513226,0.0066,0.039631747,100,200,251811.9319,3.22E-07,4.2533,1,1000,1.38629,1899979.328,1045900,0.2,3.579392175,100,4090.857938,1763.219242,2327.647395,31
0.40464725,0.029620485,0.099039144,0.000656602,0.002031788,0.007624714,0.013803663,0.30246127,0.0066,0.04282742,100,200,265979.7621,3.22E-07,4.2533,1,1000,1.38629,1907261.931,1045900,0.2,3.579392175,100,4114.30852,1433.297286,2681.019143,32
0.392148659,0.027000011,0.094000001,0.0007,0.00225,0.0101995,0.008165653,0.300021986,0.0066,0.044267894,100,200,231551.6778,3.22E-07,4.2533,1,1000,1.38629,1762800.677,1045900,0.2,3.579392175,100,4121.621316,1529.766939,2591.865443,33
0.402011288,0.028297357,0.097810324,0.000683913,0.002214265,0.00775477,0.006161197,0.302241354,0.0066,0.043699758,100,200,232891.9984,3.22E-07,4.2533,1,1000,1.38629,1755224.712,1045900,0.2,3.579392175,100,4043.177484,1340.301836,2875.630441,34
0.406937425,0.030106075,0.094784822,0.000573758,0.002069095,0.007673887,0.008795671,0.30448044,0.0066,0.044313,100,200,209420.8382,3.22E-07,4.2533,1,1000,1.38629,1941293.841,1045900,0.2,3.579392175,100,3790.378053,1036.15244,2754.318054,35
0.402600728,0.030315287,0.098110301,0.000657898,0.002248373,0.009629371,0.008260066,0.31035658,0.0066,0.040789826,100,200,164725.3298,3.22E-07,4.2533,1,1000,1.38629,1825426.085,1045900,0.2,3.579392175,100,3947.2758,1841.272526,2106.008415,36
0.406155258,0.027812375,0.095236522,0.000661944,0.001741233,0.009565894,0.006776886,0.309431496,0.0066,0.038213123,100,200,239208.5263,3.22E-07,4.2533,1,1000,1.38629,1908741.733,1045900,0.2,3.579392175,100,5455.154522,2009.280062,3445.888895,37
0.395079277,0.028578282,0.09591851,0.000655107,0.0022473,0.00932873,0.010755085,0.302613362,0.0066,0.04142263,100,200,199820.6414,3.22E-07,4.2533,1,1000,1.38629,1905612.325,1045900,0.2,3.579392175,100,4409.925049,1773.086586,2636.850201,38
0.398212824,0.03044264,0.094596937,0.000699997,0.002249997,0.007272189,0.01499997,0.301402954,0.0066,0.037609367,100,200,203866.1006,3.22E-07,4.2533,1,1000,1.38629,1982590.133,1045900,0.2,3.579392175,100,4091.880639,1452.881691,2639.007645,39
0.40698231,0.031974695,0.097179615,0.000699121,0.002247765,0.007172792,0.006681862,0.303563575,0.0066,0.04382496,100,200,232672.5929,3.22E-07,4.2533,1,1000,1.38629,1909205.916,1045900,0.2,3.579392175,100,4289.345578,1028.304692,3261.185241,40
0.402692262,0.027,0.094714989,0.000698931,0.002174627,0.007000796,0.011687914,0.301224163,0.0066,0.040809841,100,200,178899.34,3.22E-07,4.2533,1,1000,1.38629,1922718.592,1045900,0.2,3.579392175,100,4187.607771,1214.022929,2973.620345,41
0.404238719,0.027019493,0.099078195,0.0007,0.002170046,0.007000671,0.005159568,0.302123577,0.0066,0.044313,100,200,170926.021,3.22E-07,4.2533,1,1000,1.38629,1814045.783,1045900,0.2,3.579392175,100,3773.063289,1022.479741,2750.594679,42
0.406999997,0.031914122,0.099018222,0.000530446,0.001885203,0.007611399,0.005000018,0.304383626,0.0066,0.03988558,100,200,220364.4766,3.22E-07,4.2533,1,1000,1.38629,1937774.916,1045900,0.2,3.579392175,100,4261.404291,1516.892115,2744.565769,43
0.399379975,0.027580085,0.095400573,0.000669998,0.002249999,0.007000001,0.005,0.302135519,0.0066,0.039897554,100,200,248534.5486,3.22E-07,4.2533,1,1000,1.38629,1933931.76,1045900,0.2,3.579392175,100,4433.600156,1401.624602,3031.993211,44
0.40699292,0.027165178,0.099680947,0.000699993,0.00225,0.007105754,0.011486905,0.308848162,0.0066,0.044313,100,200,162717.2422,3.22E-07,4.2533,1,1000,1.38629,1938667.559,1045900,0.2,3.579392175,100,3902.393927,1709.084999,2193.318693,45
0.395716468,0.032,0.099954635,0.0007,0.00225,0.01007792,0.008415363,0.302197176,0.0066,0.042136271,100,200,244748.4344,3.22E-07,4.2533,1,1000,1.38629,1895742.907,1045900,0.2,3.579392175,100,3812.440536,1601.490249,2210.956496,46
0.405123144,0.027937369,0.097577476,0.000481638,0.001882507,0.007920526,0.012867297,0.30339901,0.0066,0.0385924,100,200,239196.6308,3.22E-07,4.2533,1,1000,1.38629,1827978.69,1045900,0.2,3.579392175,100,4906.55697,1902.095684,3004.467721,47
0.396114868,0.029163345,0.098014196,0.000679228,0.002249997,0.01019997,0.008940085,0.302286222,0.0066,0.041507591,100,200,201507.4339,3.22E-07,4.2533,1,1000,1.38629,1947789.643,1045900,0.2,3.579392175,100,3831.170422,1724.105365,2107.074106,48
0.390001525,0.031999992,0.095451192,0.000699999,0.002249998,0.008214506,0.006212473,0.300523032,0.0066,0.044312995,100,200,257693.4234,3.22E-07,4.2533,1,1000,1.38629,1915468.032,1045900,0.2,3.579392175,100,3498.181005,1470.568627,2027.621055,49
0.40088001,0.02700005,0.096722211,0.000565112,0.00224726,0.00847809,0.009238394,0.301518744,0.0066,0.042430153,100,200,203273.988,3.22E-07,4.2533,1,1000,1.38629,1969873.681,1045900,0.2,3.579392175,100,4213.112624,1367.770161,2845.350775,50
0.398798126,0.0288304,0.095546877,0.000656038,0.002248869,0.00700183,0.006591106,0.305903501,0.0066,0.039755866,100,200,162702.0493,3.22E-07,4.2533,1,1000,1.38629,1798634.837,1045900,0.2,3.579392175,100,4497.23514,1810.029864,2687.215995,51
0.399351429,0.027,0.095352796,0.000670226,0.00224993,0.008455435,0.005392974,0.306940001,0.0066,0.044313,100,200,181279.5028,3.22E-07,4.2533,1,1000,1.38629,1763156.511,1045900,0.2,3.579392175,100,4058.645852,1703.871107,2354.78509,52
0.398578155,0.029510381,0.096148453,0.0007,0.00225,0.009761628,0.012161581,0.304598355,0.0066,0.044313,100,200,175297.4049,3.22E-07,4.2533,1,1000,1.38629,1936570.477,1045900,0.2,3.579392175,100,3574.974136,1565.442445,2009.539033,53
0.392872151,0.028323348,0.095834752,0.0006505,0.002156508,0.010184541,0.009916986,0.300021732,0.0066,0.040010007,100,200,240847.6049,3.22E-07,4.2533,1,1000,1.38629,1796902.21,1045900,0.2,3.579392175,100,4878.9518,1774.398753,3104.584936,54
0.40422164,0.029251911,0.09934998,0.000552229,0.001841247,0.007574403,0.010443345,0.301907854,0.0066,0.039261652,100,200,237131.7893,3.22E-07,4.2533,1,1000,1.38629,1829476.204,1045900,0.2,3.579392175,100,4608.473615,1753.090098,2855.419402,55
0.406602364,0.030615053,0.098378909,0.00059082,0.001968034,0.010185347,0.005127003,0.31297815,0.0066,0.043228785,100,200,199241.1204,3.22E-07,4.2533,1,1000,1.38629,1776521.278,1045900,0.2,3.579392175,100,4721.071804,1695.231442,3025.857952,56
0.406845672,0.030550469,0.098888468,0.000555183,0.002112391,0.00859829,0.009315603,0.303583766,0.0066,0.041036183,100,200,239387.3127,3.22E-07,4.2533,1,1000,1.38629,1755024.995,1045900,0.2,3.579392175,100,3646.892405,1252.94906,2393.954208,57
0.401507259,0.028781077,0.097798775,0.000649595,0.002249992,0.008930842,0.010405956,0.306892293,0.0066,0.041791096,100,200,210676.5874,3.22E-07,4.2533,1,1000,1.38629,1771654.095,1045900,0.2,3.579392175,100,4490.470521,1716.693314,2773.805255,58
0.398554631,0.027841036,0.099983049,0.0007,0.002246767,0.009974912,0.011103527,0.30050114,0.0066,0.044095865,100,200,224560.924,3.22E-07,4.2533,1,1000,1.38629,1960215.72,1045900,0.2,3.579392175,100,3591.207041,1524.825219,2066.382644,59
