mu,z,g,alpha,c,epsilon,bR,beta,a,bT,eT,eT,kA,j,kB,n,d,f,nK,rK,Ki,Kj,dKO,Error,Wterror,Koerror,EntryNumber
0.400226977,0.030212998,0.096466681,0.000699999,0.001499998,0.002640858,0.01415871,0.300181272,0.006400012,0.044313,100,200,225001.3132,4.18E-07,0.463354848,1,1000,1.38629,1906920.449,1045900,0.320829009,1.560250806,100,3142.396856,1326.034029,1816.368459,206
0.399990154,0.031048698,0.09406249,0.000699896,0.0015,0.004634715,0.011889965,0.300000001,0.0064,0.044267527,100,200,261570.2493,4.18E-07,1.291390437,1,1000,1.38629,1991293.506,1045900,0.280941317,1.212983356,100,3142.918207,873.2814049,2269.691997,52
0.402739331,0.031686985,0.099942259,0.0007,0.0015,0.002669566,0.005050545,0.3,0.0064,0.044312998,100,200,208578.9373,4.18E-07,3.694453399,1,1000,1.38629,1757193.704,1045900,0.020908709,3.971383978,100,3144.448389,1498.025607,1646.43098,249
0.403794598,0.032,0.096192977,0.000699898,0.001499997,0.002481285,0.005,0.305311254,0.0064,0.044312986,100,200,246438.1415,4.18E-07,0.916031541,1,1000,1.38629,1760709.762,1045900,0.28139244,0.398693888,100,3154.527622,1291.499614,1863.035662,121
0.400706217,0.031592011,0.094000001,0.0007,0.001499954,0.004484752,0.007945436,0.301088191,0.006424815,0.044312798,100,200,195976.2825,4.18E-07,3.102979703,1,1000,1.38629,1802938.112,1045900,0.276426556,1.884965124,100,3156.212076,922.9289592,2233.332406,83
0.405065823,0.029393557,0.095550513,0.0007,0.001492398,0.001000074,0.005022686,0.301176868,0.006482619,0.04070127,100,200,188450.6344,4.18E-07,3.423682205,1,1000,1.38629,1811892.597,1045900,0.13923776,1.074799945,100,3165.193168,1279.939748,1885.31391,77
0.40298699,0.031872054,0.095175499,0.000695303,0.00149942,0.003113227,0.010247653,0.305563244,0.006567769,0.040794017,100,200,191918.622,4.18E-07,0.694248997,1,1000,1.38629,1983721.713,1045900,0.189825767,1.416716003,100,3167.242089,1353.296252,1813.958271,109
0.400514903,0.031893821,0.094006527,0.000669001,0.001472531,0.001575513,0.005001533,0.3046266,0.006435178,0.044306225,100,200,169812.7894,4.07E-07,0.446050838,1,1000,1.38629,1816305.725,1045900,0.148554873,6.224249947,100,3172.377711,1718.657241,1453.729534,182
0.401562528,0.027000001,0.094,0.000698236,0.001499944,0.002936048,0.005000001,0.300003147,0.006400291,0.044157478,100,200,253914.4481,4.18E-07,3.750512359,1,1000,1.38629,1914071.984,1045900,0.075252448,2.719207764,100,3172.533654,1459.627908,1712.918377,149
0.406999999,0.027004767,0.09467533,0.000685353,0.001498723,0.001015953,0.007097332,0.302517099,0.006401388,0.043529732,100,200,234397.1378,4.18E-07,0.426913401,1,1000,1.38629,1855529.498,1045900,0.134551829,1.04636588,100,3174.270076,1545.116262,1629.154205,211
0.39993902,0.029189792,0.097361351,0.00068459,0.00147909,0.003346431,0.006175221,0.30002495,0.006548949,0.044309457,100,200,161702.7844,4.18E-07,1.582564042,1,1000,1.38629,1965950.684,1045900,0.107462903,4.997753677,100,3189.165903,1585.425821,1603.761405,128
0.40110813,0.03189052,0.095946869,0.00069725,0.00149969,0.002281567,0.005000146,0.300013423,0.006608177,0.044312856,100,200,188850.9276,4.18E-07,3.272113058,1,1000,1.38629,1887987.374,1045900,0.319296119,2.925235591,100,3193.848793,1414.909198,1778.965471,50
0.403304969,0.03198348,0.09686137,0.000699174,0.001494357,0.004261787,0.011015899,0.302936971,0.006400254,0.043585112,100,200,180369.5398,4.18E-07,2.742503392,1,1000,1.38629,1938584.934,1045900,0.268616733,1.908481047,100,3198.55342,1235.373091,1963.205887,188
0.403261767,0.030070913,0.099998017,0.000699925,0.001468088,0.002368239,0.008422986,0.300057171,0.006401832,0.044305974,100,200,227319.8025,4.05E-07,0.425523226,1,1000,1.38629,1999220.987,1045900,0.083334981,6.587335702,100,3209.196835,1656.789829,1552.42007,244
0.406932014,0.028767029,0.097906898,0.000638675,0.0015,0.002057566,0.013118275,0.302628452,0.006453292,0.044310698,100,200,221026.7466,4.18E-07,0.425388627,1,1000,1.38629,1871906.796,1045900,0.339736466,1.119172812,100,3212.278787,1401.262208,1811.022074,32
0.396167269,0.032,0.094444713,0.000673892,0.001493024,0.001703564,0.005308244,0.3,0.006400061,0.044312999,100,200,252894.461,4.18E-07,0.42996036,1,1000,1.38629,1989580.557,1045900,0.171891692,6.785263865,100,3217.053429,1676.866859,1540.194707,202
0.4023807,0.031994103,0.098017465,0.000698865,0.001499958,0.003686126,0.007763919,0.300004673,0.006457864,0.043670988,100,200,165600.7278,4.18E-07,3.0726504,1,1000,1.38629,1774527.996,1045900,0.314879665,2.74632025,100,3218.219933,1268.587499,1949.633501,84
0.406999604,0.0319899,0.094767349,0.0007,0.001499999,0.004053806,0.008030433,0.311771084,0.006421193,0.042879554,100,200,194294.6549,4.14E-07,1.192519217,1,1000,1.38629,1745181.033,1045900,0.020000004,1.115983983,100,3219.744368,1354.763818,1864.98401,110
0.406999999,0.027074888,0.096733194,0.000681758,0.001499862,0.004409205,0.011683185,0.304395524,0.006484783,0.044288351,100,200,255283.7158,4.18E-07,0.782760564,1,1000,1.38629,1913801.298,1045900,0.03199435,1.655265851,100,3227.717814,1289.251881,1938.46911,155
