mu,z,g,alpha,c,epsilon,bR,beta,a,bT,eT,eT,kA,j,kB,n,d,f,nK,rK,Ki,Kj,dKO,Error,Wterror,Koerror,EntryNumber
0.3989060207520009,0.02785092983555031,0.09400704014751472,0.0006134328914460805,0.001487685178785078,0.007672762102577296,0.007508346813990334,0.3000206991105173,0.006516676346840929,0.04229160746007075,100,200,170446.1692058622,4.174283132606739e-07,7.982210812919846,1,1000,1.38629,1782585.581979937,1045900,0.1130614392584254,1.156023963755732,100,3995.442597242032,1359.014161707214,2636.469152394771,1
0.400545667413334,0.03199999994102409,0.09400049712176674,0.0006999999801463735,0.001499999819049342,0.008910103830486538,0.005000000062044286,0.3093795063656664,0.006400000059468521,0.04431299995686893,100,200,243583.0295897226,4.180189128252817e-07,5.72695680446121,1,1000,1.38629,1744212.521102299,1045900,0.1079838636249647,3.490793196622234,100,4349.367985345872,1524.973517167893,2824.40086178416,2
0.4063120400024221,0.03068594774219318,0.09680868197990519,0.0005351221048126683,0.0014922778358916,0.008450888405528035,0.01049843858432732,0.306189258890231,0.00640153023297339,0.04371657714724349,100,200,266710.9635958748,4.178849335352059e-07,5.680459851901609,1,1000,1.38629,1777696.988875741,1045900,0.136827693162075,0.7373290008778781,100,4356.173148398841,1334.621146262891,3021.561427759617,3
0.4010643367482619,0.03123118965458474,0.09405547602064514,0.000565686817372535,0.001469416720960869,0.008837427387281932,0.006701823011666356,0.3092730354028954,0.006456881705172372,0.04430904594462919,100,200,266091.1323995523,4.179055824208405e-07,2.017956437288611,1,1000,1.38629,1973575.610461645,1045900,0.02733463717779124,3.402049607670441,100,4428.912093632272,1637.261840550098,2791.652017654539,4
0.406999529327108,0.02966696772417488,0.09919728829648769,0.0006999951724289266,0.001424096461096443,0.007000146458425133,0.006991595604284635,0.3057985086251414,0.00643756387773311,0.04172493287587359,100,200,174748.7714491147,4.180176220320547e-07,3.125337285837463,1,1000,1.38629,1754675.41232214,1045900,0.1718450479584074,3.275517912387137,100,3882.178886375861,1449.067065671128,2433.120312071442,5
0.404718429970193,0.02906524439904208,0.09682976949019327,0.0006072295905755835,0.001317307745323799,0.007008930492962204,0.009273953342249949,0.300155325603526,0.006400042128231661,0.04370798165351937,100,200,259648.893875995,4.179531274616512e-07,6.817139593499863,1,1000,1.38629,1812681.009577865,1045900,0.2328569638960002,0.7707471164723962,100,4506.230485846849,1553.154961101094,2953.135856935382,6
0.3926554879665621,0.03156617918210871,0.09670775452455466,0.0006673656427176518,0.001453446814426061,0.01017701386923963,0.007261993389871792,0.3009496838592151,0.006530904955223056,0.04314063954659417,100,200,173453.7000055778,4.180185101778004e-07,0.8371787298364364,1,1000,1.38629,1967777.548694855,1045900,0.3664367567904013,1.83579420692403,100,4382.541931385945,1427.228213478433,2955.35403019353,7
0.4006973482808266,0.0277225376684726,0.09400494210873656,0.000699998756152918,0.001499998809495064,0.00754335138755631,0.009240049730655332,0.3052699425918801,0.006455563063672302,0.04422568416281299,100,200,230664.4541407742,4.180120144230332e-07,0.4309452929343668,1,1000,1.38629,1793097.533551468,1045900,0.1656753692229672,4.63230773324856,100,4274.227498896991,1542.63137123758,2731.603386502019,8
0.3944314032458396,0.03199999980428637,0.09654457899848709,0.000699997724790922,0.001499999721679183,0.008240666299045775,0.007810810366894148,0.3035313471261977,0.0064000001764894,0.04218534970209709,100,200,170583.2644343424,4.180196151225951e-07,8.081299999558386,1,1000,1.38629,1871161.576870639,1045900,0.0312487600144453,6.302639696755767,100,4728.314989127076,2199.020975101242,2529.29543918888,9
0.3910697023178782,0.03193947494803132,0.09401103646218466,0.0006143649858973087,0.001499999788670266,0.008347975702331851,0.005008516976995199,0.3024468323826082,0.006400470658425385,0.04431275822063829,100,200,162044.6763067248,4.18019128356842e-07,7.885300915058927,1,1000,1.38629,1792611.592010791,1045900,0.07294761770887162,6.064505764447712,100,4462.956323169809,1881.263622622284,2581.694121946278,10
0.3960196659744961,0.03112017215635651,0.09610399815243451,0.0006002315748632138,0.001444191773163334,0.007848389015446752,0.005020017925143179,0.3001623290422065,0.006523568665887288,0.04431297840789875,100,200,223534.6535795389,4.179084047910707e-07,2.459959623682789,1,1000,1.38629,1865168.298777757,1045900,0.02092237661153508,0.7902338733208243,100,4168.865269979669,1344.939681374758,2823.927936612864,11
0.3931835531582726,0.03082211839753142,0.09400262442674212,0.0006992989172049841,0.001499999705296076,0.01019688850968898,0.008622589132889571,0.3003427925336699,0.006537299627502088,0.04431299982444236,100,200,252960.2971806441,4.177623234399847e-07,6.664872068624137,1,1000,1.38629,1995183.730609758,1045900,0.02041950650213622,3.966959378820437,100,4472.523717498667,1691.031468929783,2781.493750172771,12
0.3955657293344475,0.03150307314118394,0.09447513391496946,0.0006999912451824511,0.00142319070229353,0.007514677342877722,0.007672314777890232,0.3000457645590531,0.00640048601520126,0.04327987902703827,100,200,169416.7352227969,4.180008872999004e-07,4.163201199715768,1,1000,1.38629,1885563.349329328,1045900,0.2509303747621376,3.795652619214782,100,3889.256257572837,1389.929987230427,2499.343584797372,13
0.3982913103057099,0.03199999998206852,0.09400440266590653,0.0006999999810800692,0.00149999979742413,0.007620536620564113,0.007082183134246493,0.3033696994544663,0.006475222945074091,0.0442799945403211,100,200,258153.0597252358,4.180196681857894e-07,4.143777926761703,1,1000,1.38629,1758741.755053725,1045900,0.03096901218285092,4.206767705869243,100,4066.453867272556,1284.856097821698,2781.615711749547,14
0.4025315652970683,0.02802845034168182,0.09536069372701113,0.0006999954358028245,0.001427634200968867,0.007537866486332228,0.008236182832518202,0.3031736962899246,0.006547041363100906,0.0402574979181787,100,200,237053.7146348701,4.180082490694968e-07,7.13952057883514,1,1000,1.38629,1948861.910730192,1045900,0.09049394594636027,2.779009021665496,100,4244.111772252036,1707.939856740026,2536.190699141276,15
0.403619930117455,0.02954976522197314,0.09874386938020602,0.0004601742272409389,0.001489201789022403,0.007167953736623703,0.009958989572873864,0.3088213922968131,0.006690696587447987,0.03849545424060453,100,200,215808.6421917766,4.003550148417041e-07,1.126296392752561,1,1000,1.38629,1756817.397514799,1045900,0.0720297008224762,2.744938729366116,100,6914.251954248453,2618.27575243728,4295.993355046783,16
0.4017553023148489,0.02918288790066908,0.09514377191880048,0.000699989974955882,0.001499997008556532,0.007608756152361497,0.01499978871985441,0.3027615965365394,0.00648264970963403,0.03750619620962938,100,200,203197.4366314634,4.179800360732776e-07,1.202268314352025,1,1000,1.38629,1904399.077401454,1045900,0.04085957601945887,0.468565135843261,100,3863.206639396605,1199.05501963007,2664.19815612192,17
0.3972997613755282,0.03080041576870039,0.09502850806729397,0.0006999907232668469,0.001467778238642405,0.008044292232099161,0.005538311621104684,0.3011740501696812,0.006400005560319185,0.04431296756172976,100,200,210452.8927252555,4.179555057252483e-07,3.959649321539106,1,1000,1.38629,1810948.167547427,1045900,0.1807442773548185,0.5384271437729863,100,4025.183029294913,1090.118697322909,2935.122936983849,18
0.4069464502532073,0.02718959846390244,0.09611247985395172,0.0005359534339382258,0.001392473665900153,0.009256696102420291,0.0104932386380099,0.3005430144939438,0.006421281451363082,0.03920197961665189,100,200,252895.7726612592,4.180187375184516e-07,0.6749657127540485,1,1000,1.38629,1983511.147893622,1045900,0.1602382102275729,1.769615294542521,100,4462.894344877517,1205.244626789953,3257.659248018751,19
0.4024318034332041,0.03032865511693945,0.0951100979177369,0.0006999998853493979,0.001499999904754173,0.009264082857026242,0.005000176844541375,0.3091722381342388,0.006400000240813417,0.04431283942851209,100,200,224477.8754572333,4.180199762540579e-07,3.841562103497199,1,1000,1.38629,1969478.06757601,1045900,0.06448011698176784,5.033475053309989,100,4399.368183189909,1639.632850767124,2759.756255895632,20
