Population,Hour,SimulationValue,CellValue,RsquareValue,PctContribution
NaiveTregs,168,2607.64240506975,3632.4214976909,0.154441653665559,2.0820961181362e-05
NaiveTregs,168,2607.64240506975,2492.1575496309,0.00196134503489328,2.64417583375546e-07
NaiveTregs,168,2607.64240506975,2110.7786807341,0.036306009005495,4.89457336289948e-06
NaiveTregs,216,6673.95481484659,2108.4103151058,0.467970671861882,6.30891923363613e-05
NaiveTregs,216,6673.95481484659,2657.1451906006,0.362239640264611,4.88351251705222e-05
NaiveTregs,216,6673.95481484659,5532.7222767638,0.0292402961550674,3.94201341883167e-06
NaiveTregs,216,6673.95481484659,4636.945646814,0.0931578470952841,1.25590206532651e-05
NaiveTregs,288,19341.1649286327,36343.5319293019,0.772775804581485,0.000104181317974809
NaiveTregs,288,19341.1649286327,6896.6082721261,0.413993575736386,5.58123017020167e-05
NaiveTregs,288,19341.1649286327,107345.715570516,20.7035587383425,0.00279113815849543
NaiveTregs,336,33169.9986682237,28284.1351391972,0.0216966036877356,2.92501493235745e-06
NaiveTregs,336,33169.9986682237,9927.6525557505,0.490985899818324,6.61919768280307e-05
NaiveTregs,336,33169.9986682237,9211.1637127479,0.521723601376042,7.03358620801495e-05
NaiveTregs,336,33169.9986682237,43165.2976863542,0.0908030996298183,1.22415667513758e-05
NaiveTregs,336,33169.9986682237,29160.9328804553,0.0146081580097797,1.96939027544649e-06
NaiveTregs,432,76681.8191562863,154445.072649721,1.02840464708243,0.000138643770818485
NaiveTregs,432,76681.8191562863,196554.114697086,2.44372780115917,0.00032944973378705
NaiveTregs,432,76681.8191562863,184402.16051386,1.97337956853392,0.000266040011987391
NaiveTregs,432,76681.8191562863,202707.683499348,2.70106201107525,0.000364142094741056
NaiveTregs,432,76681.8191562863,24751.282418827,0.458628256109951,6.1829700022634e-05
NaiveProl,96,744.724677595112,80594.9788871172,0.981604711987268,0.000132334464949378
NaiveProl,96,744.724677595112,15415.3702885592,0.905712851160175,0.00012210314813323
NaiveProl,96,744.724677595112,40871.9993070568,0.963890198053869,0.000129946293117492
NaiveProl,168,3518.33300452998,42645.6039981096,0.841803208937864,0.000113487207107974
NaiveProl,168,3518.33300452998,66593.5353793358,0.897125418343935,0.000120945438402268
NaiveProl,168,3518.33300452998,50714.5134752945,0.86606239031666,0.000116757694452491
NaiveProl,168,3518.33300452998,59216.4830897363,0.884700597717822,0.000119270393478818
NaiveProl,216,7831.31105832643,54753.0981010949,0.734398349799772,9.90074838615077e-05
NaiveProl,216,7831.31105832643,54695.5152755651,0.734140287410055,9.89726933314199e-05
NaiveProl,216,7831.31105832643,104460.547526816,0.855682204480139,0.000115358295771967
NaiveProl,216,7831.31105832643,72327.685623025,0.795172713757384,0.000107200744181833
NaiveProl,288,18161.718458107,105061.6977867,0.684148717104567,9.22331090287297e-05
NaiveProl,288,18161.718458107,146627.508559535,0.767616098154883,0.000103485715171642
NaiveProl,288,18161.718458107,648582.480523671,0.944779776790591,0.000127369932855617
NaiveProl,336,28735.5939814167,119347.106894675,0.576425217503639,7.77104284546899e-05
NaiveProl,336,28735.5939814167,40099.7169073435,0.0803136257313015,1.08274344647138e-05
NaiveProl,336,28735.5939814167,41625.6613180553,0.0958932591828308,1.29277936334688e-05
NaiveProl,336,28735.5939814167,1693494.24535359,0.966351467652728,0.000130278107738473
NaiveProl,432,62754.6601037533,768343.981872226,0.843320410290204,0.000113691747720636
NaiveProl,432,62754.6601037533,542375.355244622,0.781980517774061,0.000105422245998561
NaiveProl,432,62754.6601037533,206255.978504615,0.484059436205488,6.52581896884597e-05
ActTProl,96,5434.80988517521,2190.95188030854,2.1920880377227,0.000295525066303602
ActTProl,96,5434.80988517521,800.532023270524,33.5124917732937,0.00451796697161412
ActTProl,96,5434.80988517521,326.359290106159,245.011481075681,0.0330310794749176
ActTProl,168,28326.0468470545,1289.85075735651,439.351637410142,0.0592309339505887
ActTProl,168,28326.0468470545,672.840086290811,1689.14637687528,0.227721280547266
ActTProl,216,70251.9291101771,2173.28257254476,981.272055299749,0.132289618032674
ActTProl,216,70251.9291101771,2662.26576638272,644.551689624445,0.0868948589356151
ActTProl,288,178961.37609953,288585.053361064,0.144298250040777,1.94534841561819e-05
ActTProl,288,178961.37609953,802871.984761083,0.603882066335785,8.14120074661049e-05
ActTProl,336,263701.847171196,256928.004209549,0.000695100116992069,9.37095155973425e-08
ActTProl,336,263701.847171196,96470.489327778,3.00501378986859,0.000405119175969197
ActTProl,336,263701.847171196,725595.901290949,0.40522394635212,5.46300292473321e-05
ActTProl,336,263701.847171196,1255869.2249764,0.624138611557397,8.41428817588718e-05
ActTProl,432,392869.160459327,1337207.41500592,0.498720951793929,6.72347733346561e-05
ActTProl,432,392869.160459327,70942.7390022654,20.5919435981567,0.00277609082867278
ActTProl,432,392869.160459327,314971.537261677,0.0611653962119567,8.24597710491739e-06
TregProl,96,537.394371426827,389.3058700769,0.144697414744743,1.9507297312212e-05
TregProl,96,537.394371426827,77.0136983840354,35.7353637760671,0.00481764216015558
TregProl,96,537.394371426827,91.9326164379649,23.4791087015266,0.00316532230292016
TregProl,168,1109.27720909821,3173.8949363451,0.423149869260284,5.70467020564643e-05
TregProl,168,1109.27720909821,1542.393699156,0.0788531329314306,1.06305389823744e-05
TregProl,168,1109.27720909821,645.2081892994,0.517327317155238,6.97431795950097e-05
TregProl,168,1109.27720909821,1750.7410287495,0.134245739875756,1.80982608796014e-05
TregProl,216,2490.54800764299,520.9572850536,14.2938015659926,0.00192701049539456
TregProl,216,2490.54800764299,537.400071856,13.2091489551942,0.00178078368825612
TregProl,216,2490.54800764299,490.0222915561,16.6669680568202,0.00224694754741183
TregProl,216,2490.54800764299,175.6574062755,173.671282665703,0.0234133923645389
TregProl,288,8516.17889809871,41599.6622222998,0.632474253005186,8.52666463838091e-05
TregProl,288,8516.17889809871,15418.0544922362,0.200389564414372,2.70154018867005e-05
TregProl,288,8516.17889809871,312652.923811041,0.946265046440493,0.000127570168614498
TregProl,336,17324.2524429368,128359.433527293,0.748282565820706,0.000100879276321277
TregProl,336,17324.2524429368,14374.661900744,0.0421044682385184,5.67628925195574e-06
TregProl,336,17324.2524429368,25791.6596046069,0.107781025269718,1.45304358634217e-05
TregProl,336,17324.2524429368,392905.833181801,0.913758895565111,0.000123187870902266
TregProl,336,17324.2524429368,285724.753416074,0.882410995411716,0.000118961722083474
TregProl,432,55749.5514145547,818242.090766253,0.868375506545212,0.000117069535863533
TregProl,432,55749.5514145547,150884.460930796,0.397549112007737,5.3595350945429e-05
TregProl,432,55749.5514145547,67287.6797860632,0.0294035404597324,3.96402110425745e-06
