Population,Hour,SimulationValue,CellValue,RsquareValue,PctContribution
NaiveTCT,96,1504.77336863752,313754.115109177,43058.6956624902,0.176470761450633
NaiveTCT,96,1504.77336863752,81096.5719024953,2797.65684744261,0.0114658520549627
NaiveTCT,96,1504.77336863752,82176.5065432886,2874.09144585913,0.0117791098435744
NaiveTCT,168,4165.72253676978,202191.030106987,2259.7516559882,0.00926131387135716
NaiveTCT,168,4165.72253676978,281400.238757488,4429.08402959239,0.0181520554490899
NaiveTCT,168,4165.72253676978,258890.160593434,3739.04374282932,0.0153240103129532
NaiveTCT,168,4165.72253676978,287909.680494409,4639.51480783868,0.0190144800789683
NaiveTCT,216,8163.57892344642,174196.979212856,413.646860805718,0.0016952807179814
NaiveTCT,216,8163.57892344642,214991.888081408,641.887283065765,0.0026306959805745
NaiveTCT,216,8163.57892344642,351594.483150285,1769.77295926364,0.00725319652420546
NaiveTCT,216,8163.57892344642,231859.731174484,750.854583827598,0.00307728504331316
NaiveTCT,288,21904.7572340416,460298.761284545,400.54592946051,0.00164158816425606
NaiveTCT,288,21904.7572340416,294069.092545624,154.378046025949,0.000632699409824265
NaiveTCT,288,21904.7572340416,2841584.69418621,16570.0088223565,0.0679101405450201
NaiveTCT,336,41103.0618581317,609249.493941727,191.06107549761,0.000783040288561545
NaiveTCT,336,41103.0618581317,134186.915105858,5.12861804776893,2.1019009474262e-05
NaiveTCT,336,41103.0618581317,218982.636996656,18.7285354629284,7.67565961566571e-05
NaiveTCT,336,41103.0618581317,3404909.06473208,6697.5125061411,0.027448930200955
NaiveTCT,336,41103.0618581317,1594599.22417303,1428.47294776553,0.00585442045852337
NaiveTCT,432,127718.009637484,2123942.37761748,244.29491191982,0.00100121261133698
NaiveTCT,432,127718.009637484,978631.991492665,44.388149083197,0.000181919362571861
NaiveTCT,432,127718.009637484,3079733.87373214,534.235926644541,0.00218950015365594
NaiveTCT,432,127718.009637484,2131917.05179819,246.25066770953,0.00100922803558779
NaiveTCT,432,127718.009637484,752083.463967796,23.898654349766,9.79456917089715e-05
ActTCT,96,9943.66451053603,10573.0661076692,0.00400647793070427,1.6420056397167e-08
ActTCT,96,9943.66451053603,2732.83878852734,0.525868397223139,2.15520686479207e-06
ActTCT,96,9943.66451053603,2769.23104539096,0.520573789924802,2.1335075688161e-06
ActTCT,168,27697.8714684799,19509.660799797,0.0873947258550568,3.5817652116774e-07
ActTCT,168,27697.8714684799,27152.6546169506,0.000387476840510687,1.58802611266679e-09
ActTCT,168,27697.8714684799,24980.6295309454,0.00962418198236807,3.94435246269542e-08
ActTCT,168,27697.8714684799,27780.7586441973,8.95533615302847e-06,3.67023423644487e-11
ActTCT,216,54317.4715853833,10607.7939813473,0.647554185393156,2.65392108187854e-06
ActTCT,216,54317.4715853833,13092.0161000136,0.576038928302332,2.36082460786831e-06
ActTCT,216,54317.4715853833,21410.4851822898,0.367026254550361,1.50421190461881e-06
ActTCT,216,54317.4715853833,14119.1900800078,0.547691350985622,2.24464555326869e-06
ActTCT,288,146003.908934356,484194.439258279,5.36529887029828,2.19890166779149e-05
ActTCT,288,146003.908934356,309335.221695935,1.25143973095033,5.12887162122662e-06
ActTCT,288,146003.908934356,2989101.04334577,379.187863648335,0.00155405476179235
ActTCT,336,274329.835947019,881694.695490673,4.9017734469114,2.00893148137902e-05
ActTCT,336,274329.835947019,194192.84288221,0.0853335862289267,3.49729194241483e-07
ActTCT,336,274329.835947019,316907.65665696,0.0240891108548703,9.87262542402296e-08
ActTCT,336,274329.835947019,4927521.96079711,287.710612293935,0.00117914651263271
ActTCT,336,274329.835947019,2307674.75618352,54.9384019688535,0.000225158274749371
ActTCT,432,842790.467001662,3669417.74681081,11.2485841844281,4.61009370053169e-05
ActTCT,432,842790.467001662,1690728.35262517,1.01225248264007,4.14859214017947e-06
ActTCT,432,842790.467001662,5320685.83913454,28.2298554698542,0.000115696586107838
ActTCT,432,842790.467001662,3683195.15022443,11.3585059785183,4.65514379414151e-05
ActTCT,432,842790.467001662,1299332.99455235,0.293442658528049,1.20263859821592e-06
TregCT,96,302.341633851118,3893.0587007696,141.047846740544,0.000578067229680606
TregCT,96,302.341633851118,914.5376683104,4.10001185873692,1.68033936824106e-05
TregCT,96,302.341633851118,1168.8575518541,8.21404691446125,3.36642597107032e-05
TregCT,168,617.391520416296,9096.9256353981,188.635167852478,0.000773098004830963
TregCT,168,617.391520416296,5294.562986526,57.3911942893922,0.000235210742011235
TregCT,168,617.391520416296,3163.6014443071,17.0085422141556,6.97074156454765e-05
TregCT,168,617.391520416296,3899.3777458511,28.2587005434822,0.000115814804089802
TregCT,216,1085.68252807349,2681.965282313,2.16179220151865,8.85983911101995e-06
TregCT,216,1085.68252807349,3252.6846454443,3.9839416941067,1.63276944068323e-05
TregCT,216,1085.68252807349,6174.280873608,21.9680064418271,9.00331690195336e-05
TregCT,216,1085.68252807349,4976.9598444731,12.8463179664731,5.26490521484912e-05
TregCT,288,2720.53057291522,78496.7539325135,775.815927472156,0.00317958603622557
TregCT,288,2720.53057291522,22785.3843144723,54.395725706638,0.000222934182919814
TregCT,288,2720.53057291522,430140.513193451,24683.2546098941,0.101161279250788
TregCT,336,5101.67624578589,160449.291909116,927.22128908249,0.00380010226506154
TregCT,336,5101.67624578589,24865.421026544,15.0076497190524,6.1507004166238e-05
TregCT,336,5101.67624578589,35653.9913116317,35.8643082536071,0.000146985450651439
TregCT,336,5101.67624578589,446528.21736294,7486.711440514,0.0306833648428324
TregCT,336,5101.67624578589,332135.293473713,4109.21634271484,0.0168411171264526
TregCT,432,17239.6441766966,158041.780479337,66.7055382151504,0.000273384433520045
TregCT,432,17239.6441766966,201884.395773617,114.714241964213,0.000470142193514972
TregCT,432,17239.6441766966,1027553.52141681,3434.4408491761,0.0140756328654711
TregCT,432,17239.6441766966,361119.596244343,397.884590095461,0.00163068099261505
TregCT,432,17239.6441766966,94355.2450257827,20.0091158106794,8.20048970071448e-05
ThyNaive,96,1401.68261393083,233159.13622206,27338.0823859626,0.112041763946269
ThyNaive,96,1401.68261393083,65681.2016139361,2103.03191558929,0.00861901731552737
ThyNaive,96,1401.68261393083,41304.5072362319,810.41581172472,0.00332138940082384
ThyNaive,168,3879.97424077495,159545.426108877,1609.63270912611,0.00659688143045118
ThyNaive,168,3879.97424077495,214806.703378153,2955.32706767774,0.0121120440353487
ThyNaive,168,3879.97424077495,208175.647118139,2772.4303951061,0.0113624645467247
ThyNaive,168,3879.97424077495,228693.197404672,3357.26806759171,0.0137593497240539
ThyNaive,216,7602.53878493177,119443.881111761,216.415046804531,0.000886950417595657
ThyNaive,216,7602.53878493177,160296.372805843,403.390541831309,0.00165324645774088
ThyNaive,216,7602.53878493177,247133.935623469,992.676190522969,0.00406836111777779
ThyNaive,216,7602.53878493177,159532.045551459,399.362210039643,0.00163673683598589
ThyNaive,288,20389.5023948675,355237.063497846,269.700049510773,0.00110533243908501
ThyNaive,288,20389.5023948675,147441.583986088,38.8284733799941,0.000159133716381991
ThyNaive,288,20389.5023948675,2193002.21366254,11354.065056721,0.046533237370333
ThyNaive,336,38233.4711669969,489902.387047052,139.557425352826,0.00057195892116995
ThyNaive,336,38233.4711669969,94087.1981985141,2.13411028458041,8.74638818350476e-06
ThyNaive,336,38233.4711669969,177356.975678601,13.2407797137085,5.42657050411708e-05
ThyNaive,336,38233.4711669969,1711414.81937849,1915.13137655925,0.00784893009645486
ThyNaive,336,38233.4711669969,1594599.22417303,1657.05099545457,0.00679121943735826
ThyNaive,432,118411.52934611,2123942.37761748,286.860474496223,0.00117566232756412
ThyNaive,432,118411.52934611,978631.991492665,52.7754028772318,0.000216293489347894
ThyNaive,432,118411.52934611,2311389.89185991,342.98941122405,0.00140569986240758
ThyNaive,432,118411.52934611,1589541.69655357,154.352696886472,0.00063259551949789
ThyNaive,432,118411.52934611,545827.48546318,13.0290719233514,5.33980467344216e-05
ActivatedNaive,96,8734.59383876431,8382.11422736064,0.00162848053584418,6.67412692712619e-09
ActivatedNaive,96,8734.59383876431,1932.30676525681,0.606491170522984,2.48562937238511e-06
ActivatedNaive,96,8734.59383876431,2442.8717552848,0.518864110314447,2.12650065748184e-06
ActivatedNaive,168,24259.023933535,18219.8100424405,0.0619746634012584,2.53995525707345e-07
ActivatedNaive,168,24259.023933535,27151.6546169506,0.0142180268936618,5.8270832259227e-08
ActivatedNaive,168,24259.023933535,24307.7894446545,4.04090755480891e-06,1.65611619715167e-11
ActivatedNaive,168,24259.023933535,27779.7586441973,0.0210629869179983,8.63240579551944e-08
ActivatedNaive,216,47555.2684925131,8434.51140880249,0.676732798890065,2.77350603591975e-06
ActivatedNaive,216,47555.2684925131,10429.7503336309,0.609463598507572,2.49781150242242e-06
ActivatedNaive,216,47555.2684925131,21409.4851822898,0.302277651282349,1.23884772798109e-06
ActivatedNaive,216,47555.2684925131,14118.1900800078,0.494378267560351,2.02614844641057e-06
ActivatedNaive,288,127706.590716295,195609.385897215,0.282714889838114,1.15867215937582e-06
ActivatedNaive,288,127706.590716295,309334.221695935,2.02272673475017,8.28989642152276e-06
ActivatedNaive,288,127706.590716295,2186229.05858469,259.827192647531,0.00106486975108336
ActivatedNaive,336,239646.404574091,624766.691281125,2.58256319360561,1.05843172037135e-05
ActivatedNaive,336,239646.404574091,194191.84288221,0.0359760197817197,1.4744328659202e-07
ActivatedNaive,336,239646.404574091,220437.167329182,0.00642507801632577,2.63323909950309e-08
ActivatedNaive,336,239646.404574091,4201926.05950616,273.368464709807,0.0011203669870092
ActivatedNaive,336,239646.404574091,1051805.53120712,11.4852492037505,4.70708794414723e-05
ActivatedNaive,432,732692.402662239,3669416.74681081,16.0650836054798,6.58407667257041e-05
ActivatedNaive,432,732692.402662239,1690727.35262517,1.70969770594943,7.00698549682562e-06
ActivatedNaive,432,732692.402662239,3983478.42412862,19.6849080512665,8.06761714317058e-05
ActivatedNaive,432,732692.402662239,3612252.41122216,15.4457460521929,6.33024880356061e-05
ActivatedNaive,432,732692.402662239,984361.457290677,0.117982137151127,4.83535259493932e-07
ThyTregs,96,11.4921169576344,72.3591482170055,28.0520216441358,0.000114967756073547
ThyTregs,96,11.4921169576344,8.60525934145941,0.063103094102603,2.58620259969419e-07
ThyTregs,96,11.4921169576344,12.8313693514003,0.0135807823180379,5.56591638433492e-08
ThyTregs,168,21.3966356324133,126.1018060354,23.946677959534,9.81425105594492e-05
ThyTregs,168,21.3966356324133,119.7477896791,21.1284646148203,8.65924102319748e-05
ThyTregs,168,21.3966356324133,26.2357053767864,0.0511484857514254,2.09625769864272e-07
ThyTregs,168,21.3966356324133,37.8580363674873,0.591892167293838,2.42579715553252e-06
ThyTregs,216,34.7036722215049,52.5976821535312,0.26586702910267,1.08962327698276e-06
ThyTregs,216,34.7036722215049,58.1393829877591,0.456042579481255,1.8690343498973e-06
ThyTregs,216,34.7036722215049,151.5363052879,11.3338500777127,4.64503887683627e-05
ThyTregs,216,34.7036722215049,164.3567913836,13.9577390063278,5.72040744077063e-05
ThyTregs,288,79.6051669398684,553.5597809118,35.447939525722,0.000145279014696433
ThyTregs,288,79.6051669398684,470.7215501099,24.1395684278716,9.89330483892738e-05
ThyTregs,288,79.6051669398684,10141.8738118936,15977.5174744695,0.0654818877216163
ThyTregs,336,145.001139584268,3805.7232426261,637.368641029309,0.00261217688266344
ThyTregs,336,145.001139584268,563.1065700493,8.3143592508339,3.40753774677605e-05
ThyTregs,336,145.001139584268,651.1679942767,12.1855342546919,4.99409114819408e-05
ThyTregs,336,145.001139584268,10457.0864947849,5057.66625025812,0.0207282222699498
ThyTregs,336,145.001139584268,17249.6071771831,13915.0035225138,0.0570289282902129
ThyTregs,432,490.747236448989,3596.7078296165,40.0567912683507,0.000164167825978826
ThyTregs,432,490.747236448989,5330.2810765311,97.250386653209,0.000398568733214335
ThyTregs,432,490.747236448989,24909.2701366977,2475.84272837431,0.0101469365196967
ThyTregs,432,490.747236448989,7527.4518141991,205.599905899899,0.000842625894493604
ThyTregs,432,490.747236448989,2316.2828208925,13.8377308948111,5.67122359417757e-05
NaiveTregs,96,93.8125581030825,3431.3936824756,1265.73183704661,0.00518744605797485
NaiveTregs,96,93.8125581030825,828.9187105849,61.4013836776702,0.000251646009360198
NaiveTregs,96,93.8125581030825,1064.0935660647,106.972736127875,0.000438414585219045
NaiveTregs,168,294.43066323433,5796.9288930174,349.26393967114,0.00143141524453343
NaiveTregs,168,294.43066323433,3632.4214976909,128.529910517247,0.000526764009665976
NaiveTregs,168,294.43066323433,2492.1575496309,55.716184518869,0.000228345920745899
NaiveTregs,168,294.43066323433,2110.7786807341,38.0567812512123,0.000155971031226848
NaiveTregs,216,592.737926707896,2108.4103151058,6.53860714150627,2.67976761333561e-05
NaiveTregs,216,592.737926707896,2657.1451906006,12.1301263217107,4.97138288921604e-05
NaiveTregs,216,592.737926707896,5532.7222767638,69.4585499745843,0.000284667313179892
NaiveTregs,216,592.737926707896,4636.945646814,46.552335518927,0.000190789014156944
NaiveTregs,288,1633.37680697354,36343.5319293019,451.585865334003,0.00185076905581366
