Population,Hour,SimulationValue,CellValue,RsquareValue,PctContribution
NaiveTCT,96,1165.90195769426,215910.500561642,33925.0451945665,0.0794684860663674
NaiveTCT,96,1165.90195769426,75660.0115878185,4082.4399418627,0.00956300337335021
NaiveTCT,96,1165.90195769426,55374.3322690317,2161.77057194609,0.00506388815667355
NaiveTCT,168,2686.65791235926,356574.434321147,17350.2756927782,0.0406425440034492
NaiveTCT,168,2686.65791235926,376870.823325267,19397.5136676067,0.0454381426988714
NaiveTCT,168,2686.65791235926,293402.573499921,11708.8130768372,0.0274275728599284
NaiveTCT,168,2686.65791235926,376870.823325267,19397.5136676067,0.0454381426988714
NaiveTCT,216,4702.1258558153,137391.647104183,796.314742295317,0.00186534540011972
NaiveTCT,216,4702.1258558153,150822.866897681,965.684440160397,0.00226208926288137
NaiveTCT,216,4702.1258558153,167977.309508886,1205.73498831083,0.00282440107503991
NaiveTCT,216,4702.1258558153,247978.795980096,2676.77844936096,0.00627027995646896
NaiveTCT,288,10953.1826229803,621000.877017553,3102.03663634015,0.00726643557285047
NaiveTCT,288,10953.1826229803,760351.173630942,4681.06198034183,0.0109652590476188
NaiveTCT,288,10953.1826229803,1018676.99759041,8464.52099925717,0.0198279078253277
NaiveTCT,336,19327.8286406491,2385998.15691539,14993.720083654,0.035122377250118
NaiveTCT,336,19327.8286406491,416647.503721586,422.584934685401,0.000989893596347577
NaiveTCT,336,19327.8286406491,363957.316582995,317.935290214026,0.00074475468007413
NaiveTCT,336,19327.8286406491,2125283.46046248,11872.2299962227,0.0278103725026912
NaiveTCT,336,19327.8286406491,1679392.96615414,7377.07375195423,0.0172805925329064
NaiveTCT,432,60138.2285931793,3207804.50548517,2739.53024352781,0.00641727430980843
NaiveTCT,432,60138.2285931793,732014.207611665,124.817927081185,0.000292382564037754
NaiveTCT,432,60138.2285931793,4833428.76770157,6299.91190064345,0.0147573704979414
NaiveTCT,432,60138.2285931793,610211.044038911,83.664092039299,0.000195980836410062
NaiveTCT,432,60138.2285931793,1830204.94616442,866.319338709178,0.00202932924340691
ActTCT,96,7575.22358827262,10925.9559905997,0.195653931470184,4.58313957658589e-07
ActTCT,96,7575.22358827262,3828.70659234452,0.244604533749266,5.72979398274675e-07
ActTCT,96,7575.22358827262,2802.16810116445,0.397010556168803,9.29986317487776e-07
ActTCT,168,17497.3141934003,26139.351576832,0.243943640383035,5.71431273726438e-07
ActTCT,168,17497.3141934003,27627.216092214,0.335171974891047,7.8513114024479e-07
ActTCT,168,17497.3141934003,21508.4209187986,0.0525515650624031,1.23100596977134e-07
ActTCT,168,17497.3141934003,27627.216092214,0.335171974891047,7.8513114024479e-07
ActTCT,216,30519.5072972976,19385.4934266358,0.133090936107952,3.11761860330506e-07
ActTCT,216,30519.5072972976,21280.5927904357,0.0916403755696559,2.14665061381856e-07
ActTCT,216,30519.5072972976,23701.0262118717,0.0499137551070472,1.1692159964697e-07
ActTCT,216,30519.5072972976,34988.9634540297,0.0214463962815713,5.02375939162731e-08
ActTCT,288,70443.5545089036,54863.2723226946,0.0489179348929793,1.14588918161878e-07
ActTCT,288,70443.5545089036,67174.3874181609,0.00215373225897781,5.04505862944807e-09
ActTCT,288,70443.5545089036,89996.5774542503,0.0770451484035618,1.80476142840048e-07
ActTCT,336,123010.320991041,394777.442613054,4.88102155712558,1.14336588611e-05
ActTCT,336,123010.320991041,68936.782500689,0.193235304834456,4.52648391231227e-07
ActTCT,336,123010.320991041,60218.8808254138,0.260566023043049,6.10368748304032e-07
