mu,z,g,alpha,c,epsilon,bR,beta,a,bT,eT,eT,kA,j,kB,n,d,f,nK,rK,Ki,Kj,dKO,Error,Wterror,Koerror,EntryNumber
0.40664307,0.030550683,0.094785662,0.0007,0.0015,0.003102655,0.005000001,0.30840372,0.0064,0.044312991,100,200,239392.094,8.14E-07,3.775124836,1,1000,1.38629,1856177.175,1045900,0.02102921,4.829962304,100,2909.209483,1184.352659,1724.86723,1
0.406575371,0.030246358,0.094833247,0.00069919,0.001490056,0.001001986,0.008923661,0.302818664,0.006419558,0.044312989,100,200,185683.0136,8.14E-07,0.991396058,1,1000,1.38629,1871002.156,1045900,0.103323999,6.691845503,100,2701.237001,924.168096,1777.099381,2
0.406987724,0.028274257,0.099890493,0.0007,0.0015,0.001629213,0.005,0.300797695,0.0064,0.044313,100,200,232319.7734,8.14E-07,0.436072859,1,1000,1.38629,1942085.333,1045900,0.116121973,3.616043969,100,2586.829289,1097.591606,1489.24014,3
0.398698787,0.031846156,0.095469666,0.000619531,0.00140159,0.001647205,0.006290333,0.303166413,0.006646171,0.038858416,100,200,231899.9211,8.14E-07,0.47227319,1,1000,1.38629,1951173.786,1045900,0.020188596,3.237763827,100,3721.246272,1861.096915,1860.159809,4
0.396601976,0.027918223,0.095104511,0.000477447,0.001435958,0.005034686,0.009912635,0.302185085,0.006499423,0.043657116,100,200,224639.0611,8.02E-07,0.430764333,1,1000,1.38629,1810425.294,1045900,0.083208358,5.120778355,100,5268.278462,1955.538539,3312.755454,5
0.403956875,0.030244189,0.097592374,0.000584979,0.001498828,0.005946637,0.008204055,0.306698376,0.006484516,0.042542291,100,200,223196.3508,8.14E-07,3.453218102,1,1000,1.38629,1865634.182,1045900,0.070064196,5.799930723,100,5014.812157,1714.187739,3300.628016,6
0.406999681,0.027000026,0.094433243,0.00063822,0.001434064,0.003798308,0.005817209,0.302638572,0.006460656,0.039695039,100,200,229084.9119,8.14E-07,8.080859946,1,1000,1.38629,1997273.039,1045900,0.284520226,5.752715626,100,3453.902476,1104.3196,2349.5836,7
0.399586886,0.029529283,0.094666444,0.000585737,0.001475005,0.003759497,0.005000097,0.300000409,0.006401002,0.043101696,100,200,242825.8733,8.14E-07,1.639180898,1,1000,1.38629,1788660.54,1045900,0.164473036,4.173681263,100,3141.705205,1147.701899,1994.008343,8
0.398649059,0.031966827,0.094016592,0.000647613,0.001499975,0.004565465,0.006515824,0.30064532,0.00646469,0.040808038,100,200,164672.9445,8.14E-07,6.937061303,1,1000,1.38629,1868450.565,1045900,0.355441313,4.556847661,100,3095.969732,851.7215854,2244.257156,9
0.403488413,0.029786053,0.095552369,0.00062682,0.001375769,0.002822924,0.006094916,0.301882008,0.006661108,0.041852171,100,200,248909.9732,8.11E-07,0.425330001,1,1000,1.38629,1845073.763,1045900,0.379628451,4.443800998,100,3327.006484,1189.615852,2137.392561,10
0.406152436,0.031999754,0.099991327,0.00067016,0.00149643,0.003258593,0.005927485,0.302053214,0.006583231,0.044312988,100,200,252661.113,8.14E-07,4.394434211,1,1000,1.38629,1878936.433,1045900,0.127112882,4.319260625,100,3003.863236,1254.172712,1955.571025,11
0.406914118,0.028409476,0.094098676,0.000413814,0.001333033,0.003287258,0.005465822,0.304113163,0.006574058,0.042344064,100,200,198130.3185,8.08E-07,2.200913249,1,1000,1.38629,1776157.754,1045900,0.193798902,4.084004221,100,3625.13437,1342.089876,2283.066059,12
0.402822707,0.031639576,0.095466146,0.0007,0.001499936,0.001900696,0.008042136,0.302045654,0.006408551,0.043960327,100,200,184650.5935,8.14E-07,0.484744795,1,1000,1.38629,1844763.74,1045900,0.292198256,6.795990415,100,2484.695338,816.1172266,1668.625435,13
