6080.3,26402,322.2,5639.5,24267,19.082,186.48,440.8,2135.4,348.2,0.97617,0.0054026
6284.5,27345,330.46,5828.8,25122,19.095,193.67,455.64,2222.5,346.84,0.9764,0.0054881
6495.3,28317,339.01,6024.3,26004,19.114,201.1,470.97,2312.4,345.54,0.97662,0.0055749
6712.9,29320,347.86,6226.1,26915,19.138,208.77,486.81,2404.9,344.32,0.97682,0.0056629
6937.6,30354,357.01,6434.5,27854,19.167,216.69,503.15,2500.3,343.18,0.97702,0.0057523
7169.6,31421,366.47,6649.6,28823,19.203,224.87,520.03,2598.7,342.11,0.97721,0.0058429
7409.1,32522,376.26,6871.6,29822,19.244,233.3,537.46,2700,341.12,0.97738,0.0059348
7656.2,33658,386.37,7100.7,30854,19.291,242.01,555.46,2804.5,340.22,0.97756,0.006028
7911.3,34830,396.84,7337.2,31918,19.345,251,574.03,2912.3,339.39,0.97772,0.0061226
8174.5,36039,407.66,7581.3,33016,19.405,260.28,593.2,3023.3,338.65,0.97788,0.0062185
8446.1,37286,418.84,7833.1,34148,19.471,269.85,612.99,3137.8,337.99,0.97803,0.0063157
8726.4,38573,430.41,8093,35317,19.544,279.74,633.42,3255.9,337.41,0.97817,0.0064144
9015.6,39901,442.36,8361.1,36523,19.624,289.94,654.5,3377.6,336.93,0.97831,0.0065144
9313.9,41270,454.72,8637.6,37767,19.711,300.48,676.25,3503.1,336.53,0.97844,0.0066159
9621.6,42683,467.49,8922.9,39051,19.806,311.35,698.69,3632.6,336.23,0.97856,0.0067188
9939,44141,480.69,9217.1,40375,19.908,322.57,721.84,3766,336.02,0.97868,0.0068231
10266,45645,494.33,9520.6,41741,20.017,334.15,745.73,3903.7,335.91,0.9788,0.0069289
10604,47196,508.43,9833.5,43150,20.135,346.1,770.37,4045.6,335.89,0.97891,0.0070361
10952,48796,522.99,10156,44604,20.26,358.43,795.79,4192,335.98,0.97901,0.0071449
11311,50447,538.04,10489,46104,20.394,371.16,822.01,4342.9,336.16,0.97911,0.0072551
11681,52149,553.59,10832,47651,20.537,384.29,849.04,4498.6,336.45,0.97921,0.0073668
12062,53905,569.65,11185,49246,20.688,397.84,876.91,4659.1,336.85,0.9793,0.0074801
12455,55716,586.25,11549,50891,20.848,411.83,905.65,4824.7,337.36,0.97939,0.0075949
12860,57584,603.39,11925,52588,21.018,426.25,935.28,4995.4,337.98,0.97947,0.0077113
13277,59510,621.09,12312,54338,21.197,441.14,965.82,5171.5,338.72,0.97955,0.0078293
13707,61495,639.37,12710,56142,21.386,456.5,997.3,5353.1,339.57,0.97963,0.0079488
14150,63543,658.24,13120,58003,21.586,472.34,1029.7,5540.3,340.55,0.9797,0.00807
14606,65654,677.73,13543,59920,21.795,488.68,1063.2,5733.4,341.64,0.97977,0.0081928
15076,67830,697.85,13979,61897,22.016,505.54,1097.6,5932.5,342.87,0.97984,0.0083172
15560,70073,718.63,14427,63935,22.247,522.93,1133.1,6137.9,344.22,0.9799,0.0084433
16058,72385,740.07,14888,66036,22.49,540.86,1169.6,6349.6,345.71,0.97996,0.008571
16571,74768,762.21,15363,68200,22.744,559.35,1207.2,6567.9,347.33,0.98002,0.0087004
17098,77224,785.05,15852,70431,23.01,578.42,1246,6793,349.09,0.98007,0.0088315
17641,79754,808.63,16355,72729,23.289,598.08,1285.9,7025.1,351,0.98012,0.0089643
18200,82361,832.95,16873,75096,23.58,618.35,1327,7264.3,353.06,0.98017,0.0090988
18774,85046,858.05,17405,77535,23.884,639.25,1369.2,7510.9,355.26,0.98022,0.0092351
19365,87812,883.94,17953,80047,24.202,660.79,1412.7,7765.2,357.62,0.98026,0.0093731
19973,90661,910.65,18516,82634,24.534,683,1457.5,8027.3,360.14,0.98031,0.0095129
20598,93595,938.2,19094,85298,24.88,705.88,1503.5,8297.4,362.82,0.98035,0.0096544
21240,96616,966.62,19689,88040,25.24,729.46,1550.9,8575.8,365.66,0.98038,0.0097978
21900,99726,995.92,20301,90864,25.615,753.76,1599.6,8862.6,368.68,0.98042,0.0099429
22579,1.0293e+05,1026.1,20929,93769,26.006,778.8,1649.7,9158.3,371.88,0.98045,0.01009
23275,1.0622e+05,1057.3,21574,96760,26.413,804.59,1701.1,9462.9,375.25,0.98048,0.010239
23991,1.0961e+05,1089.4,22237,99837,26.836,831.16,1754.1,9776.7,378.81,0.98051,0.010389
24726,1.131e+05,1122.5,22918,1.03e+05,27.275,858.53,1808.4,10100,382.56,0.98054,0.010542
25481,1.1669e+05,1156.6,23616,1.0626e+05,27.733,886.71,1864.3,10433,386.51,0.98056,0.010696
26255,1.2038e+05,1191.7,24334,1.0961e+05,28.207,915.73,1921.7,10776,390.65,0.98059,0.010852
27050,1.2418e+05,1227.9,25069,1.1305e+05,28.7,945.6,1980.6,11129,395,0.98061,0.011011
27865,1.2809e+05,1265.2,25824,1.1659e+05,29.212,976.36,2041.1,11493,399.57,0.98063,0.011171
28702,1.321e+05,1303.7,26599,1.2023e+05,29.743,1008,2103.2,11868,404.34,0.98064,0.011333
29559,1.3623e+05,1343.2,27392,1.2397e+05,30.294,1040.6,2166.9,12253,409.34,0.98066,0.011496
30439,1.4047e+05,1384,28206,1.2782e+05,30.865,1074.1,2232.3,12650,414.57,0.98067,0.011662
31340,1.4482e+05,1426,29040,1.3176e+05,31.457,1108.6,2299.4,13059,420.03,0.98069,0.01183
32263,1.493e+05,1469.1,29895,1.3582e+05,32.071,1144.1,2368.2,13479,425.73,0.9807,0.012
33209,1.539e+05,1513.6,30770,1.3998e+05,32.707,1180.6,2438.7,13912,431.68,0.98071,0.012171
34177,1.5862e+05,1559.4,31666,1.4426e+05,33.365,1218.1,2511,14357,437.88,0.98072,0.012345
35169,1.6346e+05,1606.4,32584,1.4865e+05,34.047,1256.7,2585.1,14815,444.33,0.98072,0.012521
36184,1.6844e+05,1654.9,33523,1.5315e+05,34.752,1296.4,2661,15286,451.06,0.98073,0.012698
37222,1.7354e+05,1704.7,34484,1.5777e+05,35.483,1337.1,2738.8,15770,458.05,0.98073,0.012878
38285,1.7878e+05,1755.9,35466,1.6251e+05,36.238,1379,2818.4,16268,465.32,0.98073,0.013059
39371,1.8415e+05,1808.6,36471,1.6737e+05,37.019,1422.1,2899.8,16780,472.88,0.98074,0.013243
40481,1.8966e+05,1862.8,37498,1.7236e+05,37.827,1466.3,2983.2,17306,480.74,0.98073,0.013429
41616,1.9531e+05,1918.5,38547,1.7746e+05,38.662,1511.7,3068.5,17847,488.89,0.98073,0.013616
42775,2.011e+05,1975.7,39619,1.827e+05,39.525,1558.4,3155.8,18402,497.35,0.98073,0.013806
43959,2.0703e+05,2034.5,40714,1.8806e+05,40.416,1606.3,3245,18973,506.13,0.98072,0.013998
45167,2.1311e+05,2095,41831,1.9355e+05,41.337,1655.4,3336.2,19559,515.23,0.98072,0.014192
46400,2.1934e+05,2157,42971,1.9918e+05,42.288,1705.9,3429.3,20161,524.66,0.98071,0.014388
47659,2.2571e+05,2220.8,44134,2.0493e+05,43.27,1757.7,3524.5,20780,534.44,0.9807,0.014585
48942,2.3224e+05,2286.2,45321,2.1082e+05,44.284,1810.8,3621.7,21414,544.56,0.98069,0.014785
50251,2.3892e+05,2353.4,46530,2.1685e+05,45.33,1865.2,3720.9,22065,555.03,0.98068,0.014987
51584,2.4575e+05,2422.3,47762,2.2302e+05,46.409,1921.1,3822.1,22733,565.87,0.98067,0.015191
52942,2.5274e+05,2493.1,49017,2.2932e+05,47.523,1978.4,3925.4,23419,577.09,0.98065,0.015398
54326,2.5988e+05,2565.7,50295,2.3576e+05,48.671,2037.1,4030.7,24122,588.69,0.98064,0.015606
55734,2.6719e+05,2640.1,51596,2.4235e+05,49.855,2097.2,4138.1,24843,600.67,0.98062,0.015816
57167,2.7465e+05,2716.5,52920,2.4907e+05,51.075,2158.8,4247.5,25582,613.06,0.9806,0.016028
58625,2.8228e+05,2794.8,54266,2.5594e+05,52.333,2221.9,4358.9,26339,625.86,0.98058,0.016243
60107,2.9007e+05,2875,55635,2.6295e+05,53.629,2286.6,4472.4,27115,639.08,0.98056,0.016459
61614,2.9802e+05,2957.2,57026,2.7011e+05,54.964,2352.7,4588,27910,652.72,0.98054,0.016678
63145,3.0613e+05,3041.5,58440,2.7741e+05,56.339,2420.5,4705.6,28724,666.8,0.98052,0.016898
