"","FileID","Organ","Age","Genotype","intage","NaiveCT","ActivatedCD4CT","X4TregCT","ThymicDerivedTregsCT","X4TregProlCT","NaiveDerivedTregsCT","hours","ActivatedProlCT","NaiveProlCT","ThymicNaive","ActivatedNaiveCT","X4TregRatio","NonProlActivatedRatio","NonProlActivatedCT","ActivatedProlRatio","EarlyActivatedCD4CT"
"16","JA042618D7WTS_3","Spleen",7,"WT",7,293402.573499921,21508.4209187986,39859.6819282832,813.7935874061,21978.0954188576,17067.7929220195,168,6289.71509823004,85799.8178187544,207602.755681167,21508.4209187986,0.112353372434018,0.961976992313519,20690.606064879,0.038023007686481,0.00076139810052547
"17","GM042718D4WTS","Spleen",4,"WT",4,215910.500561642,10925.9559905997,5463.1731086251,123.3186484402,2295.4508859769,3044.4035742079,96,7857.61933790358,155276.346154904,60634.1544067379,10925.9559905997,0.0235177865612648,1,10925.9559905997,0,0.00104051520883811
"18","AD050318D9WTS_1","Spleen",9,"WT",9,137391.647104183,19385.4934266358,19826.6656204918,420.3991671242,13348.441890175,6057.8245631925,216,7151.7976917425,50687.245508763,86704.4015954203,19385.4934266358,0.112266355140187,1,19385.4934266358,0,0.000800620878520057
"19","AD050318D9WTS_3","Spleen",9,"WT",9,150822.866897681,21280.5927904357,22455.81665452,560.721131458,14248.0278129709,7647.067710091,216,8130.37502332153,57622.7590108194,93200.1078868619,21280.5927904357,0.11541889483066,0.986869381000772,21001.1654344267,0.013130618999228,0.000878888482244993
"20","AD051018D9WTS_T5","Spleen",9,"WT",9,167977.309508886,23701.0262118717,30256.1535484388,606.9213564694,14623.8075484121,15025.4246435573,216,6462.28434961409,45800.4277378432,122176.881771043,23701.0262118717,0.136329209795506,1,23701.0262118717,0,0.000978852382550302
"21","AD051018D9WTS_T1","Spleen",9,"WT",9,247978.795980096,34988.9634540297,29211.8149691877,1092.3278060723,8059.2868123819,20060.2003507333,216,6650.93252406808,47137.4421145739,200841.353865522,34988.9634540297,0.0935737548653586,1,34988.9634540297,0,0.00144504419065143
"22","AD052218D4WTS_T2","Spleen",4,"WT",4,75660.0115878185,3828.70659234452,2385.4205428503,51.2453444336004,1008.3823203867,1325.79287803,96,2032.24156033861,40159.6247442692,35500.3868435493,3828.70659234452,0.0291352138789564,1,3828.70659234452,0,0.000364620491144276
"23","AD052218D4WTS_T3","Spleen",4,"WT",4,55374.3322690317,2802.16810116445,1056.4949456927,24.7203839482968,510.9278835727,520.8466781717,96,1393.70992400021,27541.4442074921,27832.8880615396,2802.16810116445,0.0178362573099415,1,2802.16810116445,0,0.000266859808834228
"24","KV053118D0WTS_T2","Spleen",0,"WT",0,482.512209228255,875.784335469845,18045.9398081331,662.7040042534,18045.9398081331,1,1,862.647570437797,475.274526089831,7.23768313842385,875.784335469845,0.93,1,875.784335469845,0,0.000221369087195595
"25","KV053118D0WTS_T5","Spleen",0,"WT",0,629.550033633543,1142.66550629386,58680.0256553767,2943.198778953,58483.112817607,1,1,1135.22143133429,625.448730482836,4.10130315070717,1142.66550629386,0.970684039087948,1,1142.66550629386,0,0.000288827751140877
"26","KV053118D0WTS_T6","Spleen",0,"WT",0,199.442139817258,361.997683258442,37400.5297525848,2025.2994450858,37357.3420738866,1,1,360.762196284864,198.76144992027,0.680689896987332,361.997683258442,0.985210466439135,0.988412969283277,357.803204983144,0.0115870307167231,9.15009477382923e-05
"27","KV060818D0WTS_T2","Spleen",0,"WT",0,505.443374760973,917.405573613727,5044.6462715105,39.4112989961759,5044.6462715105,1,1,880.709350669178,485.225639770534,20.2177349904389,917.405573613727,0.78,1,917.405573613727,0,0.000231889548823763
"28","JA042618D7WTS_1","Spleen",7,"WT",7,376870.823325267,27627.216092214,60760.6969456246,1392.4884271363,34150.7245352235,25217.4839832647,168,7028.56667420327,95878.7052760643,280992.118049203,27627.216092214,0.130595499228207,1,27627.216092214,0,0.000978003449664374
